192.168.12.4,Switch,VLG-123
192.168.12.5,Cam,VLG-123.1
192.168.12.6,Cam,VLG-123.2
192.168.12.10,Switch,VLG-122
192.168.12.11,Cam,VLG-122.1
192.168.12.18,Switch,VLG-103
192.168.12.19,Cam,VLG-103.1
192.168.12.20,Cam,VLG-103.2
192.168.12.34,Switch,VLG-124
192.168.12.35,Cam,VLG-124.1
192.168.12.36,Cam,VLG-124.2
192.168.12.42,Switch,VLG-125
192.168.12.43,Cam,VLG-125.2
192.168.12.44,Cam,VLG-125.1
192.168.12.50,Switch,VLG-126
192.168.12.52,Cam,VLG-126.1
192.168.12.58,Switch,VLG-127
192.168.12.59,Cam,VLG-127.1
192.168.12.74,Switch,VLG-129
192.168.12.75,Cam,VLG-129.1
192.168.12.76,Cam,VLG-129.2
192.168.12.82,Switch,VLG-130
192.168.12.83,Cam,VLG-130.1
192.168.12.84,Cam,VLG-130.2
192.168.12.85,Cam,VLG-130.3
192.168.12.86,Cam,VLG-130.4
192.168.12.98,Switch,VLG-132
192.168.12.99,Cam,VLG-132.1
192.168.12.100,Cam,VLG-132.2
192.168.12.106,Switch,VLG-133
192.168.12.107,Cam,VLG-133.1
192.168.12.108,Cam,VLG-133.2
192.168.12.114,Switch,VLG-1
192.168.12.115,Cam,VLG-1.1
192.168.12.116,Cam,VLG-1.2
192.168.12.122,Switch,VLG-2
192.168.12.123,Cam,VLG-2.1
192.168.12.130,Switch,VLG-3
192.168.12.131,Cam,VLG-3.1
192.168.12.132,Cam,VLG-3.2
192.168.12.146,Switch,VLG-5
192.168.12.147,Cam,VLG-5.1
192.168.12.148,Cam,VLG-5.2
192.168.12.154,Switch,VLG-6
192.168.12.155,Cam,VLG-6.1
192.168.12.156,Cam,VLG-6.2
192.168.12.162,Switch,VLG-7
192.168.12.163,Cam,VLG-7.1
192.168.12.164,Cam,VLG-7.2
192.168.12.170,Switch,VLG-8
192.168.12.171,Cam,VLG-8.1
192.168.12.172,Cam,VLG-8.2
192.168.12.178,Switch,VLG-9
192.168.12.179,Cam,VLG-9.1
192.168.12.186,Switch,VLG-10
192.168.12.187,Cam,VLG-10.1
192.168.12.188,Cam,VLG-10.2
192.168.12.194,Switch,VLG-11
192.168.12.195,Cam,VLG-11.1
192.168.12.196,Cam,VLG-11.2
192.168.12.197,Cam,VLG-11.3
192.168.12.198,Cam,VLG-11.4
192.168.12.202,Switch,VLG-12
192.168.12.203,Cam,VLG-12.1
192.168.12.204,Cam,VLG-12.2
192.168.12.210,Switch,VLG-73
192.168.12.211,Cam,VLG-73.1
192.168.12.226,Switch,VLG-75
192.168.12.227,Cam,VLG-75.1
192.168.12.228,Cam,VLG-75.2
